"";"id";"scientific.name";"accepted.name";"family";"taxon.rank";"taxon.status";"search.str";"threat.status";"threat.status.mma";"life.form";"habitat";"vegetation.type";"vernacular.name";"occurrence";"establishment";"domain";"endemism"
"18";103059;"Apium sellowianum H.Wolff";NA;"Apiaceae";"species";"accepted";"Apium sellowianum";NA;NA;"Erva";"Terricola";"Area Antropica|Restinga";"Aipo-bravo/PORTUGUES/NA";"BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"naturalized";"Mata Atlantica|Pampa";"Nao endemica"
"19";128000;"Cyclospermum leptophyllum (Pers.) Sprague ex Britton & P.Wilson";NA;"Apiaceae";"species";"accepted";"Cyclospermum leptophyllum";NA;NA;"Erva";"Terricola";"Area Antropica|Campo Limpo|Cerrado (lato sensu)|Vegetacao Sobre Afloramentos Rochosos";"Aipo-chimarrao/PORTUGUES/Sul | Aipo-bravo/PORTUGUES/NA | Aipo-falso/PORTUGUES/NA | Gertrudes/PORTUGUES/NA | Mastruco/PORTUGUES/NA | Aipo-do-campo/PORTUGUES/NA";"BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica|Pampa|Pantanal";"Nao endemica"
"20";103063;"Daucus pusillus Michx.";NA;"Apiaceae";"species";"accepted";"Daucus pusillus";NA;NA;"Erva";"Terricola";"Area Antropica|Campo de Altitude|Campo Limpo|Vegetacao Sobre Afloramentos Rochosos";"cenoura-selvagem/PORTUGUES/sul";"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica|Pampa";"Nao endemica"
"21";15527;"Eryngium ebracteatum Lam.";NA;"Apiaceae";"species";"accepted";"Eryngium ebracteatum";NA;NA;"Erva";"Terricola";"Area Antropica|Campo de Altitude|Campo Limpo|Cerrado (lato sensu)|Restinga";NA;"BR-BA|BR-CE|BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PA|BR-PE|BR-PI|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP|BR-TO";"native";"Amazonia|Caatinga|Cerrado|Mata Atlantica|Pampa|Pantanal";"Nao endemica"
"268";7163;"Carex bonariensis Desf. ex Poir.";NA;"Cyperaceae";"species";"accepted";"Carex bonariensis";NA;NA;"Erva";"Rupicola|Terricola";"Campo Limpo|Campo rupestre|Floresta Ombrofila Mista";NA;"BR-MG|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Mata Atlantica|Pampa";"Nao endemica"
"476";612595;"Chaetogastra herbacea (DC.) P.J.F.Guim. & Michelang.";NA;"Melastomataceae";"species";"accepted";"Chaetogastra herbacea";NA;NA;"Subarbusto";"Terricola";"Area Antropica|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";NA;"BR-MG|BR-MS|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica";"Nao endemica"
"166";16281;"Raulinoreitzia crenulata (Spreng.) R.M.King & H.Rob.";NA;"Asteraceae";"species";"accepted";"Raulinoreitzia crenulata";NA;NA;"Arbusto|Subarbusto";"Terricola";"Area Antropica|Cerrado (lato sensu)|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";NA;"BR-DF|BR-GO|BR-MG|BR-MS|BR-MT|BR-PI|BR-PR|BR-RS|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica|Pantanal";"Nao endemica"
"194";16335;"Symphyopappus compressus (Gardner) B.L.Rob.";NA;"Asteraceae";"species";"accepted";"Symphyopappus compressus";NA;NA;"Arbusto";"Terricola";"Area Antropica|Campo de Altitude|Campo rupestre|Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";NA;"BR-BA|BR-DF|BR-ES|BR-GO|BR-MG|BR-PR|BR-RJ|BR-RS|BR-SC|BR-SP";"native";"Caatinga|Cerrado|Mata Atlantica";"Endemica"
"195";103488;"Symphyopappus itatiayensis (Hieron.) R.M.King & H.Rob.";NA;"Asteraceae";"species";"accepted";"Symphyopappus itatiayensis";NA;NA;"Arbusto";"Terricola";"Floresta Estacional Semidecidual|Floresta Ombrofila (= Floresta Pluvial)|Floresta Ombrofila Mista";NA;"BR-DF|BR-MG|BR-PR|BR-RJ|BR-SC|BR-SP";"native";"Cerrado|Mata Atlantica";"Endemica"
"196";103339;"Symphyotrichum graminifolium (Spreng.) G.L.Nesom";NA;"Asteraceae";"species";"accepted";"Symphyotrichum graminifolium";NA;NA;"Subarbusto";"Terricola";"Campo de Altitude|Campo Limpo";NA;"BR-PR|BR-RS|BR-SC";"native";"Mata Atlantica|Pampa";"Nao endemica"
